number,description,gauge,set,image
6808,flatcar with U.S.M.C. mobile searchlight truck and two-gun tank,,1595,
6809,flatcar with military trucks (cannon and hostipal van),,1591,
6810,flatcar with white Cooper Jarrett van,,1601W,
6812,"maintenance car, track",,1615,
6814,"caboose, medical",,2527,
6816,flatcar with dozer,,1617S,
6817,flatcar with scraper,,2531WS,
6818,flatcar with transformer,,1593,
6819,flatcar with helicopter,,1613S,
6820,flatcar with helicopter and missiles,,1633,
6821,flatcar with crates,,1613S,
6822,searchlight car,,2570,
6823,flatcar with IRBM missiles,,2527,
6824,"caboose, olive, medical",,1805,
6825,flatcar with trestle,,1611,
6826,flatcar with Christmas Trees,,1613S,
6827,flatcar with Harnischfeger power shovel,,2551W,
6828,flatcar with Harnischfeger crane,,2551W,
6830,flatcar with submarine,,1633,
6844,flatcar with missile,,2527,
1001T,"tender, non-whistling, Scout tinplate",0-27,1111,
1008-50,"track section, camtrol uncoupling",0-27,1609,
1043-500,"transformer, 60 watt, white w/ white cord for Girl's set",,1587S,
1050T,"tender, non-whistling, slope back",,1123,
1060T,"tender, non-whistling, streamline",,1109,
1061T,"tender, non-whistling, slope back, unstamped",,11311,
1062T,"tender, non-whistling, slope back",,11520,
110A,"trestle piers, 20 each, type A",,2555W,
1130T,"tender, non-whistling",0-27,1577S,
1130T-500,"tender, non-whistling, Lionel Lines, pink for Girl's set",,1587S,
1615T,"tender, non-whistling, slope back",0-27,1527,
1625T,"tender, non-whistling, slope back",,1595,
1640-100,Presidential whistle stop kit,,1640W,
1654T,"tender, non-whistling",,1401,
1862T,"tender, non-whistling",,1612,
1872T,"tender, non-whistling",,2528WS,
1875W,"passenger car, illuminated, whistle",O,2528WS,1875W_web.jpg
2020W,"tender, whistling ",,1415WS,2020W_web.jpg
2023P,"locomotive, UP Alco, A unit, powered",,1464W,
2023T,"locomotive, UP Alco, A unit, dummy",,1464W,
2032P,"locomotive, Erie Alco, A unit, powered, black",,1467W,
2032T,"locomotive, Erie Alco, A unit, dummy, black",,1467W,
2033P,"locomotive, UP Alco, A unit, powered, silver and silver",,,#N/A
2033T,"locomotive, UP Alco, A unit, dummy, silver and silver",,,#N/A
2037-500,"locomotive, 2-6-4, headlight and smoke, pink for Girl's set",0-27,1587S,
2041P,"locomotive, Rock Island Alco, A unit, powered",0-27,11740,
2041T,"locomotive, Rock Island Alco, A unit, dummy",0-27,11740,
2046T,"tender, non-whistling",,1526S,
2046W,"tender, whistling, Lionel Lines",,1473WS,2046W_web.jpg
204P,"locomotive, SF Alco, A unit, powered, blue and yellow",0-27,1586,
204T,"locomotive, SF Alco, A unit, dummy, blue and yellow",,1586,
205P,"locomotive, A unit, Alco powered, Missouri Pacific",0-27,1575,
205T,"locomotive, A unit, Alco dummy, Missouri Pacific",0-27,1575,
208P,"locomotive, A unit, Alco powered, Santa Fe",0-27,1605W,
208T,"locomotive, A unit, Alco dummy, Santa Fe",0-27,1605W,
209P,"locomotive, A unit, Alco powered, New Haven",0-27,1608W,
209T,"locomotive, A unit, Alco dummy, New Haven",0-27,1608W,
210P,"locomotive, A unit, Alco powered, Texas Special",0-27,1599,
210T,"locomotive, A unit, Alco dummy, Texas Special",0-27,1599,
211P,"locomotive, A unit, Alco powered, Texas Special",0-27,11252,
211T,"locomotive, A unit, Alco dummy, Texas Special",0-27,11252,
212P,"locomotive, A unit, Alco powered, Santa Fe",0-27,11490,
212T,"locomotive, A unit, Alco dummy, Santa Fe",0-27,11490,
213P,"locomotive, A unit, Alco powered, M & SL",0-27,11480,
213T,"locomotive, A unit, Alco dummy, M & SL",0-27,11480,
217C,"locomotive, B unit, Alco dummy, Boston and Maine",0-27,1615,
217P,"locomotive, A unit, Alco powered, Boston and Maine",0-27,1615,
218C,"locomotive, B unit, Alco dummy, Santa Fe",0-27,1649,
218P,"locomotive, A unit, Alco powered, Santa Fe",0-27,1619W,
218T,"locomotive, A unit, Alco dummy, Santa Fe",0-27,1619W,
221T,"tender, non-whistling",,1400,
223P,"locomotive, A unit, Alco powered, Santa Fe",0-27,11385,
2240C,"locomotive, F3, B unit, dummy, Wabash",0-27,1563W,
2240P,"locomotive, F3, A unit, powered, Wabash, single motor",0-27,1563W,
2242C,"locomotive, F3, B unit, dummy, New Haven",O,2507W,
2242P,"locomotive, F3, A unit, powered, New Haven, single motor",O,2507W,
2243C,"locomotive, F3, B unit, dummy, SF",0-27,1535W,
2243P,"locomotive, F3, A unit, powered, SF, single motor",0-27,1535W,
